,area_id,area_name,crm_cd,crm_cd_1,crm_cd_2,crm_cd_3,crm_cd_4,crm_cd_desc,cross_street,date_occ,date_rptd,dr_no,location,location_1,mocodes,premis_cd,premis_desc,rpt_dist_no,status,status_desc,time_occ,vict_age,vict_descent,vict_sex,weapon_desc,weapon_used_cd,Month,Year,Latitude,Longitude,Zip Code
17963,02,Rampart,210,210,,,,ROBBERY,RAMPART,2017-10-29,2017-10-29T00:00:00.000,170219694,3RD,"{'type': 'Point', 'coordinates': [-118.2797, 34.0667]}",0305 0449 0337 0420 0344,101,STREET,0251,IC,Invest Cont,0720,44,H,M,OTHER KNIFE,207,10,2017,34.0667,-118.2797,90057
17976,02,Rampart,210,210,,,,ROBBERY,COLUMBIA,2017-11-22,2017-11-22T00:00:00.000,170220960,3RD                          ST,"{'type': 'Point', 'coordinates': [-118.2644, 34.0594]}",0906 1206 0344 0416,101,STREET,0248,IC,Invest Cont,0400,22,H,M,UNKNOWN WEAPON/OTHER WEAPON,500,11,2017,34.0594,-118.2644,90017
17982,02,Rampart,210,210,,,,ROBBERY,MELROSE,2017-11-03,2017-11-03T00:00:00.000,170219916,ALEXANDRIA,"{'type': 'Point', 'coordinates': [-118.2962, 34.0814]}",0102 0344 0302 0342 0355 0202,102,SIDEWALK,0211,IC,Invest Cont,0345,43,H,F,HAND GUN,102,11,2017,34.0814,-118.2962,90029
17993,02,Rampart,210,210,998,,,ROBBERY,,2017-11-16,2017-11-16T00:00:00.000,170220601,2100 W  TEMPLE                       ST,"{'type': 'Point', 'coordinates': [-118.268, 34.0703]}",0945 2004 1402 0104 0325 0378 0447,301,GAS STATION,0235,AA,Adult Arrest,0740,,X,X,UNKNOWN WEAPON/OTHER WEAPON,500,11,2017,34.0703,-118.268,90026
18005,02,Rampart,210,210,,,,ROBBERY,,2017-11-13,2017-11-14T00:00:00.000,170220443,1500 W  SUNSET                       BL,"{'type': 'Point', 'coordinates': [-118.2553, 34.0759]}",0429 0377 1202 0344,102,SIDEWALK,0218,IC,Invest Cont,1800,84,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0759,-118.2553,90026
18023,02,Rampart,210,210,998,,,ROBBERY,,2017-11-05,2017-11-05T00:00:00.000,170219974,700 S  LAKE                         ST,"{'type': 'Point', 'coordinates': [-118.2779, 34.057]}",0444 0429 0344 2002,102,SIDEWALK,0265,AO,Adult Other,0210,43,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.057,-118.2779,90057
18061,02,Rampart,210,210,,,,ROBBERY,,2017-11-11,2017-11-11T00:00:00.000,170220336,200    WITMER                       ST,"{'type': 'Point', 'coordinates': [-118.2615, 34.061]}",0344 2000 0416,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0237,IC,Invest Cont,1335,22,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.061,-118.2615,90017
18112,02,Rampart,210,210,,,,ROBBERY,UNION,2017-11-25,2017-11-25T00:00:00.000,170221081,OLYMPIC                      BL,"{'type': 'Point', 'coordinates': [-118.2742, 34.0492]}",1814 0355 0344 2000 0448,101,STREET,0279,AO,Adult Other,0710,22,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0492,-118.2742,90017
18116,02,Rampart,210,210,,,,ROBBERY,,2017-11-28,2017-11-28T00:00:00.000,170221230,1800 W  3RD                          ST,"{'type': 'Point', 'coordinates': [-118.268, 34.0657]}",0325 0416 0945 2004,402,MARKET,0236,AA,Adult Arrest,1346,16,X,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0657,-118.268,90057
18132,02,Rampart,210,210,,,,ROBBERY,,2017-11-10,2017-11-10T00:00:00.000,170220303,2400 W  8TH                          ST,"{'type': 'Point', 'coordinates': [-118.281, 34.0563]}",0344 0432 0324,403,DRUG STORE,0261,IC,Invest Cont,1405,,X,X,VERBAL THREAT,511,11,2017,34.0563,-118.281,90057
18153,02,Rampart,210,210,,,,ROBBERY,,2017-11-08,2017-11-08T00:00:00.000,170220174,700 S  BONNIE BRAE                  ST,"{'type': 'Point', 'coordinates': [-118.2772, 34.0547]}",1813 0344 0354 0444 2000,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0265,IC,Invest Cont,2100,34,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0547,-118.2772,90057
18157,02,Rampart,210,210,,,,ROBBERY,BEVERLY                      BL,2017-11-27,2017-11-27T00:00:00.000,170221189,ALVARADO                     ST,"{'type': 'Point', 'coordinates': [-118.2687, 34.0693]}",1218 0342 0337 0416 0429 0420 0417 0344,102,SIDEWALK,0235,IC,Invest Cont,1720,50,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0693,-118.2687,90057
18182,02,Rampart,210,210,,,,ROBBERY,,2017-11-27,2017-11-27T00:00:00.000,170221145,4500    MELROSE                      AV,"{'type': 'Point', 'coordinates': [-118.2978, 34.0836]}",0202 0380 0334 0337 0344,301,GAS STATION,0211,IC,Invest Cont,0755,16,X,X,HAND GUN,102,11,2017,34.0836,-118.2978,90029
18188,02,Rampart,210,210,,,,ROBBERY,LAFAYETTE PARK               PL,2017-11-10,2017-11-10T00:00:00.000,170220285,HOOVER                       ST,"{'type': 'Point', 'coordinates': [-118.2842, 34.0598]}",0344 0352 0416 0445 2004 0359 1218,101,STREET,0251,IC,Invest Cont,1005,48,H,F,STICK,308,11,2017,34.0598,-118.2842,90057
18190,02,Rampart,210,210,,,,ROBBERY,WILSHIRE                     BL,2017-12-05,2017-12-05T00:00:00.000,170221640,ALVARADO                     ST,"{'type': 'Point', 'coordinates': [0, 0]}",0344 0913 0356 1817,102,SIDEWALK,0246,IC,Invest Cont,1125,21,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,0.0,0.0,NaN
18215,02,Rampart,210,210,,,,ROBBERY,OLYMPIC                      BL,2017-12-13,2017-12-13T00:00:00.000,170222038,UNION,"{'type': 'Point', 'coordinates': [-118.2742, 34.0492]}",0411 0344 0202 0906 1218,102,SIDEWALK,0275,IC,Invest Cont,1140,26,H,M,KNIFE WITH BLADE 6INCHES OR LESS,200,12,2017,34.0492,-118.2742,90017
18217,02,Rampart,210,210,998,,,ROBBERY,,2017-11-14,2017-11-14T00:00:00.000,170220496,1500 W  PICO                         BL,"{'type': 'Point', 'coordinates': [-118.2752, 34.0439]}",0325 1402 0945,242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",0299,IC,Invest Cont,1715,16,X,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0439,-118.2752,90015
18235,02,Rampart,210,210,,,,ROBBERY,MELROSE,2017-12-12,2017-12-12T00:00:00.000,170221993,VERMONT                      AV,"{'type': 'Point', 'coordinates': [-118.2917, 34.0836]}",0334 0342 0432 0359 0355 0444 0429 0344 0216 0449,101,STREET,0201,IC,Invest Cont,1745,18,W,M,KNIFE WITH BLADE 6INCHES OR LESS,200,12,2017,34.0836,-118.2917,90029
18236,02,Rampart,210,210,998,,,ROBBERY,,2017-11-24,2017-11-24T00:00:00.000,170221052,600 S  ALVARADO                     ST,"{'type': 'Point', 'coordinates': [-118.2749, 34.0596]}",1402 2004 0325 0432 0334 0443 0945,242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",0246,AA,Adult Arrest,1910,,X,X,KITCHEN KNIFE,205,11,2017,34.0596,-118.2749,90057
18252,02,Rampart,210,210,,,,ROBBERY,,2017-11-26,2017-11-26T00:00:00.000,170221126,200 S  ALVARADO                     ST,"{'type': 'Point', 'coordinates': [-118.2721, 34.0639]}",0342 0355 0315 0416 0344 2004,210,RESTAURANT/FAST FOOD,0236,AA,Adult Arrest,2045,16,X,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0639,-118.2721,90057
18296,02,Rampart,210,210,,,,ROBBERY,OCCIDENTAL,2017-11-04,2017-11-04T00:00:00.000,170219949,3RD                          ST,"{'type': 'Point', 'coordinates': [-118.2821, 34.0677]}",0416 0417 0444 0344 0429,102,SIDEWALK,0233,IC,Invest Cont,0100,18,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0677,-118.2821,90057
18323,02,Rampart,210,210,,,,ROBBERY,,2017-11-22,2017-11-22T00:00:00.000,170220961,600 S  ALVARADO                     ST,"{'type': 'Point', 'coordinates': [-118.2749, 34.0596]}",0444 0429 0344 1202,406,OTHER STORE,0246,IC,Invest Cont,1940,84,O,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0596,-118.2749,90057
18384,02,Rampart,210,210,,,,ROBBERY,LAKE,2017-12-04,2017-12-04T00:00:00.000,170221581,8TH                          ST,"{'type': 'Point', 'coordinates': [-118.2789, 34.0554]}",0416 0344 2000 0329 1310 1814 0906 1218,108,PARKING LOT,0265,AO,Adult Other,2000,21,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.0554,-118.2789,90057
18393,01,Central,210,210,,,,ROBBERY,,2017-12-11,2017-12-11T00:00:00.000,170131557,700 S  FIGUEROA                     ST,"{'type': 'Point', 'coordinates': [-118.2631, 34.0483]}",0344 0401 0431 0356,406,OTHER STORE,0161,AA,Adult Arrest,1035,21,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.0483,-118.2631,90017
18403,01,Central,210,210,,,,ROBBERY,SAN PEDRO,2017-12-09,2017-12-09T00:00:00.000,170131452,7TH                          ST,"{'type': 'Point', 'coordinates': [-118.2468, 34.0407]}",0416 0444 0329 0344,101,STREET,0176,IC,Invest Cont,1630,46,H,M,OTHER KNIFE,207,12,2017,34.0407,-118.2468,90013
18404,02,Rampart,210,210,,,,ROBBERY,BONNIE BRAE,2017-12-07,2017-12-07T00:00:00.000,170221718,JAMES M WOOD,"{'type': 'Point', 'coordinates': [-118.2765, 34.0524]}",0344 0444 0355 0369 0416 0417 0429,102,SIDEWALK,0265,IC,Invest Cont,0005,38,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.0524,-118.2765,90017
18418,02,Rampart,210,210,,,,ROBBERY,,2017-11-14,2017-11-14T00:00:00.000,170220469,2000 W  8TH                          ST,"{'type': 'Point', 'coordinates': [-118.2767, 34.0544]}",0325 0945,401,MINI-MART,0265,IC,Invest Cont,0705,16,X,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0544,-118.2767,90057
18429,02,Rampart,210,210,,,,ROBBERY,VERMONT                      AV,2017-11-25,2017-11-25T00:00:00.000,170221082,SANTA MONICA                 BL,"{'type': 'Point', 'coordinates': [-118.2962, 34.0814]}",0417 0416 0344,101,STREET,0211,IC,Invest Cont,0230,29,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0814,-118.2962,90029
18453,01,Central,210,210,998,,,ROBBERY,,2017-12-11,2017-12-12T00:00:00.000,170131597,700 W  OLYMPIC                      BL,"{'type': 'Point', 'coordinates': [-118.2628, 34.0444]}",0334 0366 0382 0437 1402 0333 0104 0378 0335 0343,248,CELL PHONE STORE,0182,AA,Adult Arrest,1840,26,H,M,HAND GUN,102,12,2017,34.0444,-118.2628,90015
18486,03,Southwest,210,210,,,,ROBBERY,,2017-12-12,2017-12-12T00:00:00.000,170301112,1100 W  37TH                         DR,"{'type': 'Point', 'coordinates': [-118.292, 34.019]}",0342 0305 0429 0344 0448 0346 1822,102,SIDEWALK,0357,AA,Adult Arrest,1730,39,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.019,-118.292,90007
18517,02,Rampart,210,210,,,,ROBBERY,,2017-11-09,2017-11-09T00:00:00.000,170220212,900 W  17TH                         ST,"{'type': 'Point', 'coordinates': [-118.2762, 34.0389]}",2000 0906 2002 1814 1300 0416 0432 0330 1310,108,PARKING LOT,0299,AO,Adult Other,1140,46,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0389,-118.2762,90015
18519,01,Central,210,210,,,,ROBBERY,,2017-12-11,2017-12-11T00:00:00.000,170131535,200 W  WASHINGTON                   BL,"{'type': 'Point', 'coordinates': [-118.2672, 34.0363]}",0305 0416 0344,108,PARKING LOT,0192,IC,Invest Cont,0830,28,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.0363,-118.2672,90015
18522,02,Rampart,210,210,,,,ROBBERY,,2017-11-11,2017-11-11T00:00:00.000,170220320,1800 W  3RD                          ST,"{'type': 'Point', 'coordinates': [-118.268, 34.0657]}",0416 0325 0945,402,MARKET,0236,IC,Invest Cont,1530,16,X,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0657,-118.268,90057
18584,03,Southwest,210,210,,,,ROBBERY,HILLCREST                    DR,2017-10-29,2017-10-30T00:00:00.000,170324383,W  29TH                         ST,"{'type': 'Point', 'coordinates': [-118.3439, 34.0294]}",0906 0344 0326 1313 0432,101,STREET,0332,IC,Invest Cont,1335,18,H,M,PHYSICAL PRESENCE,515,10,2017,34.0294,-118.3439,90016
18606,02,Rampart,210,210,,,,ROBBERY,BURLINGTON,2017-11-07,2017-11-08T00:00:00.000,170220154,8TH,"{'type': 'Point', 'coordinates': [-118.2745, 34.0534]}",0344 0345 0910,124,BUS STOP,0266,IC,Invest Cont,0720,31,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0534,-118.2745,90017
18616,02,Rampart,210,210,,,,ROBBERY,,2017-11-15,2017-11-15T00:00:00.000,170220582,1100    LAVETA                       TR,"{'type': 'Point', 'coordinates': [-118.2568, 34.0738]}",0302 0344 0355 0352 0342 0432,102,SIDEWALK,0218,IC,Invest Cont,2230,27,W,F,SEMI-AUTOMATIC PISTOL,109,11,2017,34.0738,-118.2568,90026
18630,02,Rampart,210,210,,,,ROBBERY,WILLOW BROOK,2017-11-19,2017-11-20T00:00:00.000,170220861,VERMONT,"{'type': 'Point', 'coordinates': [-118.2917, 34.0895]}",0906 0342 0371 0416 0417 0429 0216,101,STREET,0202,IC,Invest Cont,2240,40,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0895,-118.2917,90029
18642,02,Rampart,210,210,,,,ROBBERY,,2017-11-11,2017-11-11T00:00:00.000,170220342,800 S  CARONDELET                   ST,"{'type': 'Point', 'coordinates': [-118.2821, 34.0568]}",1202 0344 0416 0419 1820,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0261,IC,Invest Cont,2300,62,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0568,-118.2821,90057
18644,02,Rampart,210,210,,,,ROBBERY,11TH                         ST,2017-11-20,2017-11-20T00:00:00.000,170220836,GRAND VIEW,"{'type': 'Point', 'coordinates': [-118.2829, 34.0512]}",0342 0302 0355 0370 0344 0906 0432 1300 0371 0369,101,STREET,0271,IC,Invest Cont,1515,21,H,M,SHOTGUN,104,11,2017,34.0512,-118.2829,90057
18646,02,Rampart,210,210,,,,ROBBERY,,2017-11-24,2017-11-24T00:00:00.000,170221055,2100    BEVERLY                      BL,"{'type': 'Point', 'coordinates': [-118.2703, 34.0667]}",0325 0334 0432 0443 0945,202,LIQUOR STORE,0235,AA,Adult Arrest,1415,,X,X,OTHER KNIFE,207,11,2017,34.0667,-118.2703,90057
18653,03,Southwest,210,210,,,,ROBBERY,,2017-11-02,2017-11-02T00:00:00.000,170324607,3900 S  WESTERN                      AV,"{'type': 'Point', 'coordinates': [-118.313, 34.0146]}",0342 0344 0416 0417 0429 1028 1822 0906,108,PARKING LOT,0375,IC,Invest Cont,1730,26,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0146,-118.313,90062
18662,02,Rampart,210,210,,,,ROBBERY,,2017-12-06,2017-12-06T00:00:00.000,170221681,1700 W  6TH                          ST,"{'type': 'Point', 'coordinates': [-118.2699, 34.0573]}",0945 0325 0400 0416,403,DRUG STORE,0256,IC,Invest Cont,0725,16,X,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.0573,-118.2699,90017
18688,02,Rampart,210,210,910,,,ROBBERY,COLUMBIA                     ST,2017-11-05,2017-11-05T00:00:00.000,170220006,7TH,"{'type': 'Point', 'coordinates': [-118.2685, 34.0527]}",2000 0344 0418 1309 0400,102,SIDEWALK,0269,AA,Adult Arrest,1110,42,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0527,-118.2685,90017
18703,02,Rampart,210,210,,,,ROBBERY,,2017-11-21,2017-11-22T00:00:00.000,170220937,1600 W  7TH                          ST,"{'type': 'Point', 'coordinates': [-118.2712, 34.0539]}",0448 0444 0945 0432 0400 0433 0378 0359,406,OTHER STORE,0266,IC,Invest Cont,1845,16,X,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0539,-118.2712,90017
18724,03,Southwest,210,210,,,,ROBBERY,S  BUDLONG                      AV,2017-11-27,2017-11-27T00:00:00.000,170326295,W  27TH                         ST,"{'type': 'Point', 'coordinates': [-118.2959, 34.0309]}",1409 0312 0916 0344 1309 1310 0371 1822 0216 0906,101,STREET,0326,IC,Invest Cont,1530,27,B,M,SIMULATED GUN,113,11,2017,34.0309,-118.2959,90007
18752,03,Southwest,210,210,236,,,ROBBERY,,2017-11-09,2017-11-09T00:00:00.000,170325146,3900 S  NORMANDIE                    AV,"{'type': 'Point', 'coordinates': [-118.3045, 34.0145]}",0416 0446 1814 2000 0429 0355 1414,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0376,IC,Invest Cont,1900,19,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0145,-118.3045,90062
18753,03,Southwest,210,210,,,,ROBBERY,S  WESTERN,2017-11-28,2017-11-28T00:00:00.000,170326414,W  37TH                         PL,"{'type': 'Point', 'coordinates': [-118.3089, 34.0202]}",0400 0344 2024 1822 0216 0432,102,SIDEWALK,0355,JA,Juv Arrest,1630,14,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0202,-118.3089,90018
18769,03,Southwest,210,210,230,,,ROBBERY,,2017-11-24,2017-11-24T00:00:00.000,170326092,4600    DON ZAREMBO                  DR,"{'type': 'Point', 'coordinates': [-118.3556, 34.0051]}",0906 1414 0344 1202 0342 0416 0337 0209 0206 0302,501,SINGLE FAMILY DWELLING,0391,IC,Invest Cont,0045,88,B,M,HAND GUN,102,11,2017,34.0051,-118.3556,90008
18777,03,Southwest,210,210,,,,ROBBERY,,2017-11-30,2017-11-30T00:00:00.000,170326615,4000    CRENSHAW                     BL,"{'type': 'Point', 'coordinates': [-118.3351, 34.0124]}",0104 0325 0400 0416 1822 2004 0945,404,DEPARTMENT STORE,0363,AA,Adult Arrest,2107,16,X,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0124,-118.3351,90008
18781,03,Southwest,210,210,910,,,ROBBERY,LA SALLE                     AV,2017-12-01,2017-12-01T00:00:00.000,170326621,ADAMS                        BL,"{'type': 'Point', 'coordinates': [-118.3054, 34.0327]}",0377 0344 0334 1309 1311 0355 1822 0216,101,STREET,0326,IC,Invest Cont,0145,56,O,M,SEMI-AUTOMATIC PISTOL,109,12,2017,34.0327,-118.3054,90018
18792,04,Hollenbeck,210,210,,,,ROBBERY,,2010-11-21,2010-11-21T00:00:00.000,100418133,1000 E  CESAR E CHAVEZ               AV,"{'type': 'Point', 'coordinates': [-118.2258, 34.0543]}",0302 0326 0334 0342 0344 0400 0416 1309,102,SIDEWALK,0441,IC,Invest Cont,2155,19,H,M,HAND GUN,102,11,2010,34.0543,-118.2258,90033
18814,03,Southwest,210,210,,,,ROBBERY,W  43RD                         ST,2017-11-22,2017-11-22T00:00:00.000,170326009,S  VERMONT                      AV,"{'type': 'Point', 'coordinates': [-118.2916, 34.0055]}",0344 0416 0446 1309 1822 0906,108,PARKING LOT,0397,AA,Adult Arrest,1045,39,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0055,-118.2916,90037
18838,03,Southwest,210,210,626,,,ROBBERY,,2017-11-25,2017-11-25T00:00:00.000,170326219,2600 S  VICTORIA                     AV,"{'type': 'Point', 'coordinates': [-118.3363, 34.0326]}",2000 1814 0448 0401 0344,102,SIDEWALK,0333,IC,Invest Cont,1530,41,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0326,-118.3363,90018
18840,03,Southwest,210,210,998,,,ROBBERY,W  MARTIN LUTHER KING JR        BL,2017-11-04,2017-11-04T00:00:00.000,170324708,S  FIGUEROA                     ST,"{'type': 'Point', 'coordinates': [-118.2827, 34.0112]}",0344 1822 0216 1311 0906 1402 0330 0444 1414 0916,301,GAS STATION,0359,AA,Adult Arrest,0740,50,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0112,-118.2827,90037
18862,03,Southwest,210,210,,,,ROBBERY,,2017-11-13,2017-11-13T00:00:00.000,170325391,4000 S  FIGUEROA                     ST,"{'type': 'Point', 'coordinates': [-118.2827, 34.0112]}",0416 0445 0344 0334 1309 1822 0429 0216 1414 0432,301,GAS STATION,0399,IC,Invest Cont,2315,40,H,M,SEMI-AUTOMATIC PISTOL,109,11,2017,34.0112,-118.2827,90037
18866,03,Southwest,210,210,,,,ROBBERY,W  36TH                         ST,2017-11-25,2017-11-25T00:00:00.000,170326216,S  VERMONT                      AV,"{'type': 'Point', 'coordinates': [-118.2915, 34.0231]}",1251 0355 0305 1309 0342 1822 0400 0326,101,STREET,0357,IC,Invest Cont,1600,35,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0231,-118.2915,90007
18885,03,Southwest,210,210,,,,ROBBERY,,2017-11-27,2017-11-27T00:00:00.000,170326306,2800 S  FIGUEROA                     ST,"{'type': 'Point', 'coordinates': [-118.2808, 34.0268]}",0416 1302 1310 0417 1822,104,DRIVEWAY,0328,AA,Adult Arrest,1935,29,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0268,-118.2808,90007
18913,03,Southwest,210,210,,,,ROBBERY,,2017-11-04,2017-11-04T00:00:00.000,170324741,4200    CRENSHAW                     BL,"{'type': 'Point', 'coordinates': [-118.3351, 34.0085]}",0324 1822 0344 0337 0216 0202 0432,401,MINI-MART,0393,IC,Invest Cont,1200,,X,X,SIMULATED GUN,113,11,2017,34.0085,-118.3351,90008
18914,03,Southwest,210,210,,,,ROBBERY,S  NORMANDIE                    AV,2017-11-09,2017-11-09T00:00:00.000,170325103,W  VERNON                       AV,"{'type': 'Point', 'coordinates': [-118.3002, 34.0037]}",0416 1223 0429 0344 1822 2034,102,SIDEWALK,0397,IC,Invest Cont,1315,43,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0037,-118.3002,90062
18921,03,Southwest,210,210,,,,ROBBERY,,2017-11-08,2017-11-08T00:00:00.000,170325046,4100 S  WESTERN                      AV,"{'type': 'Point', 'coordinates': [-118.3089, 34.0099]}",2000 1814 0444 0448 0344,503,HOTEL,0395,IC,Invest Cont,1000,45,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0099,-118.3089,90062
18954,03,Southwest,210,210,,,,ROBBERY,DANA                         ST,2017-11-24,2017-11-24T00:00:00.000,170326099,S  VERMONT                      AV,"{'type': 'Point', 'coordinates': [-118.2915, 34.0316]}",0337 0416 0305 1822 1414,101,STREET,0325,AO,Adult Other,0245,50,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0316,-118.2915,90007
18985,03,Southwest,210,210,,,,ROBBERY,,2017-11-10,2017-11-10T00:00:00.000,170325195,4900 W  ADAMS                        BL,"{'type': 'Point', 'coordinates': [-118.3471, 34.0326]}",0337 0416 0446 1822 0429 0344,102,SIDEWALK,0331,IC,Invest Cont,1545,59,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0326,-118.3471,90016
19007,03,Southwest,210,210,,,,ROBBERY,HAUSER,2017-11-28,2017-11-28T00:00:00.000,170326415,RODEO,"{'type': 'Point', 'coordinates': [-118.3659, 34.0216]}",0344 1822 0400 0429 0432 0334 0302 0443 0906 0312,101,STREET,0321,IC,Invest Cont,1920,52,W,M,HAND GUN,102,11,2017,34.0216,-118.3659,90016
19019,03,Southwest,210,210,,,,ROBBERY,LA BREA,2017-11-24,2017-11-24T00:00:00.000,170326089,JEFFERSON,"{'type': 'Point', 'coordinates': [-118.3548, 34.0255]}",0344 0910 0305 0312 0355 1281,101,STREET,0331,AA,Adult Arrest,0110,17,H,M,REVOLVER,101,11,2017,34.0255,-118.3548,90016
19051,03,Southwest,210,210,,,,ROBBERY,33RD                         ST,2017-11-19,2017-11-19T00:00:00.000,170325787,FLOWER                       ST,"{'type': 'Point', 'coordinates': [-118.278, 34.0225]}",2024 0429 0342 0448 0346 0444 1822 0910 0344,943,MTA - EXPO LINE - JEFFERSON/USC,0329,JA,Juv Arrest,1620,20,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0225,-118.278,90007
19056,03,Southwest,210,210,,,,ROBBERY,MENLO,2017-11-11,2017-11-11T00:00:00.000,170325187,40TH,"{'type': 'Point', 'coordinates': [-118.29, 34.01]}",1310 0448 0334 1309 1311 0344 0432 0342 0916 1402,101,STREET,0396,AA,Adult Arrest,0255,38,H,M,UNKNOWN FIREARM,106,11,2017,34.01,-118.29,90037
19099,03,Southwest,210,210,,,,ROBBERY,DEGNAN                       BL,2017-11-29,2017-11-30T00:00:00.000,170326564,W  43RD                         ST,"{'type': 'Point', 'coordinates': [-118.3315, 34.006]}",0344 0555 0400 0336 0416 0448,101,STREET,0393,AO,Adult Other,0005,31,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.006,-118.3315,90008
19108,03,Southwest,210,210,,,,ROBBERY,MANHATTAN                    PL,2017-11-25,2017-11-25T00:00:00.000,170326220,W  ADAMS                        BL,"{'type': 'Point', 'coordinates': [-118.3101, 34.0327]}",1202 1313 0444 0429 1309 0326 0377 0354 1822,101,STREET,0315,IC,Invest Cont,1620,72,A,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0327,-118.3101,90018
19117,03,Southwest,210,210,,,,ROBBERY,W  ADAMS                        BL,2017-12-01,2017-12-01T00:00:00.000,170326655,BRONSON                      AV,"{'type': 'Point', 'coordinates': [-118.3338, 34.0326]}",0305 0444 0429 0344 1822 1414,101,STREET,0334,IC,Invest Cont,1510,20,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,12,2017,34.0326,-118.3338,90018
